Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
Universitas Pendidikan Indonesia,@upiofficial,Education,190.7K,2.5K,25,1.30%,0.03%,https://www.instagram.com/upiofficial/
Kursus Bahasa Inggris By Kampung Inggris EM,@kampunginggrism,Education,2.2M,266,10,0.01%,2.57%,https://www.instagram.com/kampunginggrism/
"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",@kemdiktisaintek.ri,Education,596.7K,810,48,0.14%,1.15%,https://www.instagram.com/kemdiktisaintek.ri/
MAHASISWA | CURHATAN | INFO,@curhatanmahasiswa.id,Education,307.4K,1.9K,19,0.61%,0.62%,https://www.instagram.com/curhatanmahasiswa.id/
Ditjen GTKPG Kemdikdasmen RI,@ditjen.gtk.kemdikbud,Education,559.4K,771,21,0.14%,1.05%,https://www.instagram.com/ditjen.gtk.kemdikbud/
Sahabat KIP Kuliah,@sahabat.kipkuliah,Education,383.7K,1.1K,21,0.29%,4.11%,https://www.instagram.com/sahabat.kipkuliah/
Yayasan SejutaCita | Kuliah & Karier,@sejutacita.id,Education,759.1K,566,6,0.07%,-0.18%,https://www.instagram.com/sejutacita.id/
drg. Miracle Sitompul,@miraclesitompul,Education,200.4K,2.6K,27,1.30%,0.45%,https://www.instagram.com/miraclesitompul/
Dapodik Official,@dapodik_official,Education,199.1K,2.1K,152,1.10%,0.70%,https://www.instagram.com/dapodik_official/
Pahamify | TO + Live Class UTBK & Ujian Mandiri,@pahamify,Education,516.6K,940,11,0.18%,16.42%,https://www.instagram.com/pahamify/
UTBK SNBT SNBP SNPMB 2025,@utbk_snbt,Education,409.2K,1.4K,17,0.34%,0.51%,https://www.instagram.com/utbk_snbt/
🎓 Beasiswa Untuk Semua 🎓,@info_beasiswa,Education,2.3M,221,5,0.01%,0.50%,https://www.instagram.com/info_beasiswa/
PPPK Indonesia 2023,@pppk_indonesia,Education,247.5K,1.9K,106,0.79%,0.30%,https://www.instagram.com/pppk_indonesia/
Motivasi Sukses 👥,@motivationmu,Education,669.9K,667,11,0.10%,-0.08%,https://www.instagram.com/motivationmu/
