Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
huawei,@huawei,Computers & Gadgets,2.1M,3.8K,8,0.19%,-0.37%,https://www.instagram.com/huawei/
Ridwan Hanif,@ridwanhr,Computers & Gadgets,1.1M,5.8K,59,0.51%,0.24%,https://www.instagram.com/ridwanhr/
Official Of Angela Lorenza🇮🇩,@elizabethangelalorenza,Computers & Gadgets,2M,3.2K,29,0.16%,0.03%,https://www.instagram.com/elizabethangelalorenza/
Universitas Indonesia,@univ_indonesia,Computers & Gadgets,1.2M,4.1K,10,0.34%,1.23%,https://www.instagram.com/univ_indonesia/
Yogi Pramana Putra,@letda.hyper,Computers & Gadgets,4.5M,1K,22,0.02%,-0.15%,https://www.instagram.com/letda.hyper/
Wawan MKS,@wawanfortunaa,Computers & Gadgets,2.3M,1.9K,39,0.08%,-0.17%,https://www.instagram.com/wawanfortunaa/
GoodStats,@goodstats.id,Computers & Gadgets,522.5K,6.8K,195,1.32%,2.48%,https://www.instagram.com/goodstats.id/
Ecommerce & Tech Meme Factory,@ecommurz,Computers & Gadgets,366.9K,5.8K,72,1.59%,2.97%,https://www.instagram.com/ecommurz/
Xiaomi Indonesia,@xiaomi.indonesia,Computers & Gadgets,2.2M,1.1K,52,0.05%,0.44%,https://www.instagram.com/xiaomi.indonesia/
Unpad - Universitas Padjadjaran,@universitaspadjadjaran,Computers & Gadgets,619.6K,2.2K,14,0.36%,2.62%,https://www.instagram.com/universitaspadjadjaran/
Rizky Berkah | Desainer Grafis,@alignleft_,Computers & Gadgets,257.4K,5.2K,26,2.02%,-0.58%,https://www.instagram.com/alignleft_/
Daunnet Media,@daunnet_media,Computers & Gadgets,198.3K,4.5K,544,2.42%,-0.40%,https://www.instagram.com/daunnet_media/
Glints TapLoker: Lamar Kerja 1x Tap & Chat HRD,@glintsid,Computers & Gadgets,959.6K,1.5K,21,0.16%,0.00%,https://www.instagram.com/glintsid/
Anjas Maradita,@anjas_maradita,Computers & Gadgets,319.7K,3.5K,1.1K,1.28%,2.10%,https://www.instagram.com/anjas_maradita/
PM Darussalam Gontor,@pondok.modern.gontor,Computers & Gadgets,267.2K,3.6K,36,1.34%,1.42%,https://www.instagram.com/pondok.modern.gontor/
Muhammad Reza Erfit | Tech Enthusiast,@reza_erfit,Computers & Gadgets,290.1K,5.3K,40,1.85%,3.18%,https://www.instagram.com/reza_erfit/
Ilmu Networking,@ilmu_networking,Computers & Gadgets,709.4K,1.2K,12,0.17%,-0.35%,https://www.instagram.com/ilmu_networking/
Grow at Paragon,@growatparagon,Computers & Gadgets,385.9K,2.4K,36,0.63%,0.86%,https://www.instagram.com/growatparagon/
Niken Adellia,@adellia.niken,Computers & Gadgets,214.2K,10K,20,4.68%,0.06%,https://www.instagram.com/adellia.niken/
BISNIS MILLENIAL,@bisnismillenial,Computers & Gadgets,897.5K,951,56,0.11%,0.44%,https://www.instagram.com/bisnismillenial/
PT Astra International Tbk,@astra_career,Computers & Gadgets,445.9K,1.3K,9,0.29%,0.00%,https://www.instagram.com/astra_career/
Olivia Gosandra • DJ Olipop🍭,@oliviagosandra,Computers & Gadgets,613.2K,1.3K,30,0.21%,-0.21%,https://www.instagram.com/oliviagosandra/
INFO LOWONGAN KERJA 2025,@interviewhrd,Computers & Gadgets,259.1K,2.5K,42,0.98%,0.05%,https://www.instagram.com/interviewhrd/
Gojek Indonesia,@gojekindonesia,Computers & Gadgets,1.3M,566,88,0.05%,0.25%,https://www.instagram.com/gojekindonesia/
Team Secret,@teamsecret,Computers & Gadgets,701.8K,900,13,0.13%,-0.43%,https://www.instagram.com/teamsecret/
BEM UI,@bemui_official,Computers & Gadgets,247.3K,2.5K,59,1.03%,0.64%,https://www.instagram.com/bemui_official/
Dea Afrizal 〰️,@dea.afrizal,Computers & Gadgets,116.2K,4.7K,85,4.05%,0.45%,https://www.instagram.com/dea.afrizal/
Habiskerja | Belajar Skill Digital,@habiskerjacom,Computers & Gadgets,764.2K,992,78,0.13%,1.55%,https://www.instagram.com/habiskerjacom/
Irvan Kurniawan,@arsiteksarungan,Computers & Gadgets,68.4K,7.5K,138,11.05%,2.80%,https://www.instagram.com/arsiteksarungan/
𝗣𝗮𝗿𝗮𝗴𝗼𝗻𝗖𝗼𝗿𝗽,@paragoncorp,Computers & Gadgets,473.2K,708,7,0.15%,0.00%,https://www.instagram.com/paragoncorp/
DHARMA PONGREKUN,@pongrekundharma88,Computers & Gadgets,228.4K,3.4K,59,1.52%,1.50%,https://www.instagram.com/pongrekundharma88/
INFO MAGANG MAHASISWA,@anakmagang.id,Computers & Gadgets,478.9K,851,3,0.18%,0.51%,https://www.instagram.com/anakmagang.id/
Nona Berlian Sakina,@nonaberlian14,Computers & Gadgets,498.9K,861,17,0.17%,-0.32%,https://www.instagram.com/nonaberlian14/
Rafli Channel,@rafli_2107,Computers & Gadgets,98.2K,3.8K,48,3.88%,-0.26%,https://www.instagram.com/rafli_2107/
"Fachrurrazi, ST",@sudutsipil,Computers & Gadgets,391K,942,45,0.25%,2.35%,https://www.instagram.com/sudutsipil/
PT. NEVERDIE BERKAT GRUP,@neverdie.mlbb,Computers & Gadgets,436.2K,1.1K,15,0.25%,0.79%,https://www.instagram.com/neverdie.mlbb/
Loker Cikarang Bekasi Karawang,@info.loker.cikarang,Computers & Gadgets,353.6K,1.2K,23,0.33%,0.52%,https://www.instagram.com/info.loker.cikarang/
Motivasi - Inspirasi - Quotes,@ceritamotivasi.id,Computers & Gadgets,380.5K,881,7,0.23%,-0.29%,https://www.instagram.com/ceritamotivasi.id/
Verum Mobile Legends 👑,@mobilelegendsverum,Computers & Gadgets,264.4K,1.2K,58,0.46%,-0.17%,https://www.instagram.com/mobilelegendsverum/
Fandra Octoramonth,@octoramonth,Computers & Gadgets,177.4K,1.7K,31,0.98%,-0.18%,https://www.instagram.com/octoramonth/
"Lowongan BUMN, CPNS & Swasta",@lokerblog,Computers & Gadgets,552K,565,14,0.10%,0.19%,https://www.instagram.com/lokerblog/
Lowongan Kerja BUMN & CPNS 2024,@lokernas,Computers & Gadgets,1.4M,264,4,0.02%,0.12%,https://www.instagram.com/lokernas.id/
INDOZONE - TECHNOLOGY,@indozonetech,Computers & Gadgets,751.8K,393,5,0.05%,-0.24%,https://www.instagram.com/indozonetech/
Medan KU,@medanku,Computers & Gadgets,455.4K,724,12,0.16%,1.68%,https://www.instagram.com/medanku/
Beasiswa Pendidikan Indonesia,@beasiswa.ri,Computers & Gadgets,102.7K,2.9K,14,2.86%,7.66%,https://www.instagram.com/beasiswa.ri/
Sandhika Galih - Belajar Coding,@sandhikagalih,Computers & Gadgets,207.5K,1.1K,18,0.55%,-0.22%,https://www.instagram.com/sandhikagalih/
Mahasiswa Akhir,@mahasiswaakhir.id,Computers & Gadgets,144.3K,1.8K,52,1.23%,1.93%,https://www.instagram.com/mahasiswaakhir.id/
Jobhun: Platform penyedia experts untuk kebutuhan karier,@jobhun,Computers & Gadgets,41.7K,6K,3,14.29%,5.15%,https://www.instagram.com/jobhun/
ITS Surabaya,@its_campus,Computers & Gadgets,195.8K,1.1K,5,0.57%,0.84%,https://www.instagram.com/its_campus/
Lowongan Volunteer Mahasiswa,@indovolunteers,Computers & Gadgets,218.7K,1.1K,8,0.51%,1.09%,https://www.instagram.com/indovolunteers/
Motivasi . Inspirasi . Sukses,@motivasi.pebisnis,Computers & Gadgets,638K,342,10,0.05%,0.17%,https://www.instagram.com/motivasi.pebisnis/
PT. TKG Taekwang Indonesia,@jobstkg,Computers & Gadgets,156K,1.2K,47,0.77%,0.31%,https://www.instagram.com/jobstkg/
Erika Su 🐰,@realerikasu,Computers & Gadgets,45.6K,5.1K,13,11.21%,0.05%,https://www.instagram.com/realerikasu/
MySkill,@myskill.id,Computers & Gadgets,1.1M,190,6,0.02%,0.65%,https://www.instagram.com/myskill.id/
Sultan Azizul | AI Enthusiast,@sazporto,Computers & Gadgets,64K,2.7K,5,4.19%,-0.38%,https://www.instagram.com/sazporto/
Pinot,@pinot,Computers & Gadgets,348K,694,11,0.20%,-0.20%,https://www.instagram.com/pinot/
VOLUNTEER | RELAWAN | MAGANG,@idnvolunteer,Computers & Gadgets,554.6K,280,5,0.05%,0.81%,https://www.instagram.com/idnvolunteer/
PI | Pontianak Informasi,@pontianakinformasi,Computers & Gadgets,537.7K,336,8,0.06%,1.36%,https://www.instagram.com/pontianakinformasi/
Universitas Islam Indonesia,@uiiyogyakarta,Computers & Gadgets,161.7K,1.2K,13,0.73%,0.29%,https://www.instagram.com/uiiyogyakarta/
yolavalery,@yolavalery,Computers & Gadgets,99K,1.9K,29,1.89%,-0.34%,https://www.instagram.com/yolavalery/
Fuadit Muhammad,@fuaditrockz,Computers & Gadgets,71.7K,2.4K,62,3.39%,2.04%,https://www.instagram.com/fuaditrockz/
AIESEC in Indonesia,@aiesecindonesia,Computers & Gadgets,"200.2K",742,7,0.37%,0.00%,https://www.instagram.com/aiesecindonesia/
Rubrik Grafis - Kelas Desain & Kreatif,@rubrikgrafis,Computers & Gadgets,221.9K,623,9,0.28%,-0.05%,https://www.instagram.com/rubrikgrafis/
Fini Charisa • UI/UX Designer,@fin.designn,Computers & Gadgets,103.4K,1.4K,23,1.35%,-0.16%,https://www.instagram.com/fin.designn/
BERFIKIR $ MENJADI KAYA,@menjadikaya,Computers & Gadgets,402.6K,384,5,0.10%,-0.23%,https://www.instagram.com/menjadikaya/
Nestlé Careers Indonesia 🇮🇩,@nestlecareers.id,Computers & Gadgets,169.3K,775,22,0.46%,0.51%,https://www.instagram.com/nestlecareers.id/
Alathur Vabianrey | Content Creation,@alvabiand,Computers & Gadgets,87.1K,1.6K,49,1.87%,0.00%,https://www.instagram.com/alvabiand/
Uzone.id - Media Teknologi & Otomotif,@uzoneindonesia,Computers & Gadgets,141.1K,999,4,0.71%,-0.06%,https://www.instagram.com/uzoneindonesia/
Mahasiswa Teknik Mesin 🇮🇩,@mahasiswateknikmesin,Computers & Gadgets,102K,1.3K,11,1.24%,1.05%,https://www.instagram.com/mahasiswateknikmesin/
ASUS Indonesia,@asusid,Computers & Gadgets,848.5K,151,13,0.02%,-0.16%,https://www.instagram.com/asusid/
JUAL LAPTOP & SEWA LAPTOP TERMURAH,@giantcomputer.id,Computers & Gadgets,151.2K,811,93,0.57%,0.17%,https://www.instagram.com/giantcomputer.id/
Info Lowongan Kerja,@instalowongan,Computers & Gadgets,1.2M,117,3,0.01%,-0.15%,https://www.instagram.com/instalowongan/
Kami Unilever,@kami.unilever,Computers & Gadgets,199.4K,592,10,0.30%,0.44%,https://www.instagram.com/kami.unilever/
AICO | Komunitas AI TERBESAR di Indonesia,@aico.community,Computers & Gadgets,265.4K,558,27,0.22%,0.00%,https://www.instagram.com/aico.community/
Anugrahpratama.com,@anugrahpratamacom,Computers & Gadgets,369.3K,295,5,0.08%,2.61%,https://www.instagram.com/anugrahpratamacom/
Lowongan Magang,@internship.time,Computers & Gadgets,279.6K,384,3,0.14%,1.54%,https://www.instagram.com/internship.time/
Froyonion,@froyonion,Computers & Gadgets,135.1K,726,18,0.54%,0.27%,https://www.instagram.com/froyonion/
Bang Joel | Confidence Expert,@maksimalindiri,Computers & Gadgets,230.5K,510,2,0.22%,0.25%,https://www.instagram.com/maksimalindiri/
𝐉𝐨𝐤𝐨 𝐒𝐮𝐬𝐢𝐥𝐨 | 𝐕𝐢𝐝𝐞𝐨 𝐄𝐝𝐢𝐭𝐨𝐫 & 𝐄𝐝𝐢𝐭𝐢𝐧𝐠 𝐓𝐢𝐩𝐬,@jokoosu_,Computers & Gadgets,128K,1K,18,0.81%,-0.40%,https://www.instagram.com/jokoosu_/
Eza Hazami,@ezash,Computers & Gadgets,109.5K,896,22,0.83%,-0.41%,https://www.instagram.com/ezash/
Eza Riyeni | Apoteker,@apotekerhack,Computers & Gadgets,145.4K,655,12,0.45%,10.08%,https://www.instagram.com/apotekerhack/
Dunia Coding,@duniacoding,Computers & Gadgets,161K,562,6,0.35%,-0.15%,https://www.instagram.com/duniacoding/
Dicoding Indonesia,@dicoding,Computers & Gadgets,391.4K,232,5,0.06%,0.00%,https://www.instagram.com/dicoding/
"Lowongan BUMN, CPNS & Swasta",@openkerja,Computers & Gadgets,1.1M,97,1,0.01%,-0.23%,https://www.instagram.com/openkerja/
Huawei Mobile Indonesia,@huaweimobileid,Computers & Gadgets,609.2K,150,11,0.03%,0.63%,https://www.instagram.com/huaweimobileid/
Penyedia lowongan kerja terbesar dan terpercaya,@jobstreetindonesia,Computers & Gadgets,1.1M,104,3,0.01%,0.24%,https://www.instagram.com/jobstreetindonesia/
Yazid Rizki Ramadhan,@blogyazid,DIY & Design,834.3K,21.5K,236,2.59%,20.92%,https://www.instagram.com/blogyazid/
🛠️ INSPIRASI DEKORASI RUMAH 🛠️,@dekorasi_rumah_idaman,DIY & Design,3.1M,3.5K,105,0.11%,-0.18%,https://www.instagram.com/dekorasi_rumah_idaman/
Inspirasi Rumah Minimalis,@andiendifqi,DIY & Design,149.2K,76.6K,2,51.35%,-0.15%,https://www.instagram.com/andiendifqi/
Noviani Dwi Rachmawati,@our.anhouse,DIY & Design,421.6K,5.7K,51,1.35%,1.00%,https://www.instagram.com/our.anhouse/
Ckk Home,@ckkhome,DIY & Design,132.9K,17.7K,99,13.37%,0.75%,https://www.instagram.com/ckkhome/
Rumah Sumadi - Nico & Winny,@rumahsmd,DIY & Design,413.7K,4.1K,76,1.01%,0.22%,https://www.instagram.com/rumahsmd/
GMJ | INTERIOR + ARCHITECTURE,@gmjinterior,DIY & Design,667.3K,2.6K,11,0.39%,1.34%,https://www.instagram.com/gmjinterior/
Dekorumahyuk,@dekorumahyuk,DIY & Design,1.1M,1.3K,37,0.12%,1.37%,https://www.instagram.com/dekorumahyuk/
Nurdin N,@nrhouse_id,DIY & Design,454.3K,2.4K,132,0.54%,3.83%,https://www.instagram.com/nrhouse_id/
Ida & Lukman,@asa_living,DIY & Design,548.2K,2.3K,127,0.43%,3.27%,https://www.instagram.com/asa_living/
Cindy Pins,@pins.home,DIY & Design,893K,1.3K,17,0.14%,2.22%,https://www.instagram.com/pins.home/
kellyshirouchi,@kellyshirouchi,DIY & Design,446K,2.4K,114,0.55%,2.14%,https://www.instagram.com/kellyshirouchi/
Ernanda Putra,@ernandaputra,DIY & Design,484.4K,3K,6,0.63%,-0.07%,https://www.instagram.com/ernandaputra/
cief family,@ruma.ciel,DIY & Design,211.7K,3.8K,193,1.83%,2.04%,https://www.instagram.com/ruma.ciel/
Konars Design,@konars.design,DIY & Design,353.3K,2.2K,16,0.63%,0.78%,https://www.instagram.com/konars.design/
PRIZA // Rumah PS,@dirumah.ps,DIY & Design,360K,2.1K,60,0.59%,7.02%,https://www.instagram.com/dirumah.ps/
Indah Aria Putri,@indah.ariaputri,DIY & Design,461.8K,2.5K,29,0.55%,0.57%,https://www.instagram.com/indah.ariaputri/
Dekori Interior,@dekori.id,DIY & Design,1M,600,4,0.06%,2.09%,https://www.instagram.com/dekori.id/
Helma ~ Natvan Home 🏠❤,@natvan_0509,DIY & Design,39.3K,16.1K,61,41.16%,8.94%,https://www.instagram.com/natvan_0509/
Sri Lung Dianty,@aldianty1717,DIY & Design,268.3K,1.5K,62,0.58%,0.19%,https://www.instagram.com/aldianty1717/
Rumah Nano • Lusti,@rumah_nano,DIY & Design,303.5K,1.4K,106,0.48%,4.42%,https://www.instagram.com/rumah_nano/
Susan Emir,@susanemir,DIY & Design,201.8K,2.6K,16,1.30%,0.07%,https://www.instagram.com/susanemir/
AZKO Indonesia,@azko.id,DIY & Design,657.1K,657,18,0.10%,0.65%,https://www.instagram.com/azko.id/
ARSINSIDE™,@arsinside,DIY & Design,233.4K,1.4K,4,0.59%,-0.14%,https://www.instagram.com/arsinside/
Samid Kreator Diy,@dimasgepeto,DIY & Design,386.2K,751,54,0.20%,1.51%,https://www.instagram.com/dimasgepeto/
INSPIRASI IDE INTERIOR RUMAH 💞,@rumahmungil,DIY & Design,714.4K,397,22,0.06%,0.03%,https://www.instagram.com/rumahmungill/
Hida,@rumahazkaa,DIY & Design,490.4K,832,34,0.17%,0.74%,https://www.instagram.com/rumahazkaa/
Mifta,@miftaajannah,DIY & Design,193.8K,1.6K,50,0.84%,2.89%,https://www.instagram.com/miftaajannah/
⚒️ INSPIRASI DESAIN RUMAH ⚒️,@desain.rumah.idaman,DIY & Design,852K,289,14,0.03%,-0.20%,https://www.instagram.com/desain.rumah.idaman/
Antony Wicaksono,@wicaksound,DIY & Design,182.4K,1.6K,32,0.89%,2.88%,https://www.instagram.com/wicaksound/
Zul Fahmi,@zulfahmi162,DIY & Design,296.8K,1K,3,0.34%,0.36%,https://www.instagram.com/zulfahmi162/
Ratna Ningsih,@rumah.atu,DIY & Design,351.9K,738,41,0.22%,1.09%,https://www.instagram.com/rumah.atu/
INSPIRASI TATA RUANG RUMAH,@tata.ruang.rumah,DIY & Design,888.5K,262,12,0.03%,-0.18%,https://www.instagram.com/tata.ruang.rumah/
Halo Arsitek,@haloarsitek,DIY & Design,137.2K,1.7K,5,1.23%,1.12%,https://www.instagram.com/haloarsitek/
bloginnara,@bloginnara,DIY & Design,154.4K,2.5K,21,1.64%,-0.17%,https://www.instagram.com/bloginnara/
IKEA Indonesia,@ikea_id,DIY & Design,1.4M,179,9,0.01%,0.17%,https://www.instagram.com/ikea_id/
Lets talk everything about House,@housetalk.id,DIY & Design,207.6K,929,3,0.45%,-0.01%,https://www.instagram.com/housetalk.id/
Putri,@zaka_home,DIY & Design,320.7K,818,71,0.27%,1.14%,https://www.instagram.com/zaka_home/
MICROHOUSE & VILLA DEVELOPER,@cosa.microhouse,DIY & Design,228.5K,1.2K,12,0.53%,3.62%,https://www.instagram.com/cosa.microhouse/
Offo Living Furniture,@offo.living,DIY & Design,1.1M,91,2,0.01%,0.99%,https://www.instagram.com/offo.living/
Living Loving,@livinglovingnet,DIY & Design,239.3K,890,15,0.38%,0.00%,https://www.instagram.com/livinglovingnet/
Yoan Mardiana,@febyoan,DIY & Design,211K,1K,83,0.51%,0.44%,https://www.instagram.com/febyoan/
Media Mirza | Jasa Desain Rumah,@media.mirza,DIY & Design,325.5K,509,16,0.16%,11.63%,https://www.instagram.com/media.mirza/
Kerajinan 5 Menit,@kerajinan.5menit.official,DIY & Design,570.6K,278,1,0.05%,3.07%,https://www.instagram.com/kerajinan.5menit.official/
CASASAKHA,@casasakha,DIY & Design,153.5K,1.3K,112,0.86%,0.48%,https://www.instagram.com/casasakha/
The Jungle Truck,@thejungletruck,DIY & Design,124.8K,1.5K,9,1.17%,1.76%,https://www.instagram.com/thejungletruck/
Fifit Fitrisari,@fifit.fitrisari,DIY & Design,187.5K,937,146,0.54%,2.58%,https://www.instagram.com/fifit.fitrisari/
Mega Agnesty,@egha.makeup,DIY & Design,641K,411,6,0.06%,-0.19%,https://www.instagram.com/egha.makeup/
Cindy Permatasari,@rumahchy,DIY & Design,243K,772,31,0.32%,1.48%,https://www.instagram.com/rumahchy/
Stefanie Sunaryo,@stefanie_lie,DIY & Design,216.5K,826,10,0.38%,0.43%,https://www.instagram.com/stefanie_lie/
kartini jati furniture,@cv.kartinijati_furniture,DIY & Design,666.9K,199,26,0.03%,0.15%,https://www.instagram.com/cv.kartinijati_furniture/
LIFETIME DESIGN | Interior Design & Build,@lifetime.design,DIY & Design,574K,237,4,0.04%,0.98%,https://www.instagram.com/lifetime.design/
eL’ora House,@elorahouse__’,DIY & Design,187.8K,704,20,0.38%,0.77%,https://www.instagram.com/elorahouse__/
Kiki,@andaraa_home,DIY & Design,226.3K,693,63,0.32%,1.15%,https://www.instagram.com/andaraa_home/
RONA OFFICIAL,@ronaofficial.id,DIY & Design,352.8K,504,55,0.15%,0.27%,https://www.instagram.com/ronaofficial.id/
Inspirasi Rumah Idaman,@inspirasirumahidaman_,DIY & Design,1.3M,93,2,0.01%,-0.24%,https://www.instagram.com/inspirasirumahidaman_/
Dese | d'House,@dhouse_dzds,DIY & Design,224.5K,623,50,0.29%,-0.01%,https://www.instagram.com/dhouse_dzds/
Desain Minimalis,@desain_minimalis,DIY & Design,337.8K,299,3,0.09%,-0.18%,https://www.instagram.com/desain_minimalis/
Ariyanti Suyoto,@the_ameera_home,DIY & Design,159.1K,626,25,0.40%,1.43%,https://www.instagram.com/the_ameera_home/
Rumahcits • Citra,@rumahcits,DIY & Design,212.2K,587,107,0.30%,1.93%,https://www.instagram.com/rumahcits/
No.1 Private Pool Villa in Indonesia,@thevillas100,DIY & Design,330K,255,34,0.08%,0.29%,https://www.instagram.com/thevillas100/
INTERIOR DESIGN | BUILD IN | CUSTOM FURNITURE |,@premiuminterior.home,DIY & Design,262.7K,381,1,0.15%,-1.11%,https://www.instagram.com/premiuminterior.home/
Gunis,@rumah_stia,DIY & Design,173.8K,693,42,0.41%,3.56%,https://www.instagram.com/rumah_stia/
CG INTERIOR | Interior & Manufacturing,@cginterior,DIY & Design,80.5K,1.4K,2,1.70%,0.44%,https://www.instagram.com/cginterior/
Rumah Minimalis Natural,@vella_velz,DIY & Design,167.9K,649,104,0.42%,0.00%,https://www.instagram.com/vella_velz/
Arsimatra Arsitek & Desain Interior,@arsimatra,DIY & Design,194.9K,855,11,0.44%,18.69%,https://www.instagram.com/arsimatra/
Dhan | Home & Living,@dhian_setyarini,DIY & Design,191.8K,503,46,0.27%,0.05%,https://www.instagram.com/dhian_setyarini/
Patio Consultant & Contractor,@patio.livity,DIY & Design,153.6K,566,2,0.37%,0.65%,https://www.instagram.com/patio.livity/
𝕤𝕡𝕖𝕤𝕚𝕒𝕝𝕚𝕤 𝕞𝕖𝕦𝕓𝕖𝕝 𝕔𝕦𝕤𝕥𝕠𝕞,@respectmeubel,DIY & Design,118.9K,645,111,0.59%,1.02%,https://www.instagram.com/respectmeubel/
𝐇𝐎𝐌𝐄 𝐅𝐎𝐑 𝐒𝐇𝐀𝐑𝐈𝐍𝐆 & 𝐈𝐍𝐒𝐏𝐈𝐑𝐈𝐍𝐆,@ummufaaza_,DIY & Design,136.3K,596,28,0.45%,4.13%,https://www.instagram.com/ummufaaza_/
Mecasa Studio | Arsitektur dan Interior,@mecasa.studio,DIY & Design,213K,318,55,0.16%,3.07%,https://www.instagram.com/mecasa.studio/
Imam Tohir,@rumah.imnd,DIY & Design,163.1K,526,45,0.34%,0.07%,https://www.instagram.com/rumah.imnd/
Kantor Gunawan Gunawan,@kantorgg,DIY & Design,105.1K,623,2,0.59%,2.29%,https://www.instagram.com/kantorgg/
Dyah,@yoi.house,DIY & Design,136.9K,550,45,0.42%,5.14%,https://www.instagram.com/yoi.house/
DESAIN RUMAH,@idegriyacantik,DIY & Design,481K,132,11,0.03%,0.48%,https://www.instagram.com/idegriyacantik/
Sibambo Studio | Jasa Arsitek & interior rumah impian,@sibambostudio,DIY & Design,357.7K,181,2,0.05%,0.21%,https://www.instagram.com/sibambostudio/
Dea Saufika,@deasaufika,DIY & Design,137.1K,595,32,0.45%,0.05%,https://www.instagram.com/deasaufika/
WOODCRAFT by Brie,@woodcraftbybrie,DIY & Design,180.4K,420,8,0.24%,0.57%,https://www.instagram.com/woodcraftbybrie/
Dina,@makaquarters,DIY & Design,87.8K,1K,124,1.23%,5.33%,https://www.instagram.com/makaquarters/
Rumah_k4 | konsep villa Bali| Inspirasi bangun rumah,@rumah_k4,DIY & Design,129K,572,107,0.48%,2.01%,https://www.instagram.com/rumah_k4/
RIDGEHOME®,@ridgehome,DIY & Design,189.6K,418,8,0.22%,2.22%,https://www.instagram.com/ridgehome/
OHANA ENTERPRISE,@ohana_enterprise,DIY & Design,376.6K,277,1,0.07%,-0.04%,https://www.instagram.com/ohana_enterprise/
RATATIA INDONESIA | KERAJINAN ROTAN RIAU,@rattan_handmade,DIY & Design,169.8K,422,2,0.25%,-0.06%,https://www.instagram.com/rattan_handmade/
Kediaman NolanVilan,@kediaman.nv,DIY & Design,84.6K,849,36,1.02%,4.51%,https://www.instagram.com/kediaman.nv/
Zahrena Aprilia,@zahrenaa,DIY & Design,200.5K,414,17,0.21%,-0.25%,https://www.instagram.com/zahrenaa/
Retno Dewi Hartianti,@retnohartianti,DIY & Design,232K,286,58,0.14%,0.70%,https://www.instagram.com/retnohartianti/
Home Organizing Indonesia,@grinnliving,DIY & Design,126.8K,213,51,0.36%,0.08%,https://www.instagram.com/grinnliving/
Desain Rumah,@homedecor_shabbychic,DIY & Design,262.5K,245,12,0.10%,-0.10%,https://www.instagram.com/homedecor_shabbychic/
Home Decor • Lifestyle • Home Inspiration,@selima.living,DIY & Design,92.9K,604,13,0.66%,6.50%,https://www.instagram.com/selima.living/
shabbychicindo kamarmungil 🍒,@kamarmungil,DIY & Design,510.5K,97,7,0.02%,-0.27%,https://www.instagram.com/kamarmungil/
Kintakun,@kintakun_collections,DIY & Design,538.3K,120,22,0.02%,0.21%,https://www.instagram.com/kintakun_collections/
vega,@mariavega.artanti,DIY & Design,130K,465,14,0.36%,-0.26%,https://www.instagram.com/mariavega.artanti/
Evie Ninon,@evieninon,DIY & Design,121.5K,588,34,0.50%,0.00%,https://www.instagram.com/evieninon/
Nanda Gabut,@nandagabut_,DIY & Design,51.6K,948,14,1.85%,7.34%,https://www.instagram.com/nandagabut_/
Rumah Panggung Modern | Marie & Dims,@rumah.merdi,DIY & Design,48.1K,1.2K,108,2.69%,4.66%,https://www.instagram.com/rumah.merdi/
Keluarga Purnama,@rumah_purnama,DIY & Design,132.9K,405,24,0.31%,0.84%,https://www.instagram.com/rumah_purnama/
DEKORASI RUMAH IMPIAN,@inspirasibikinrumah,DIY & Design,264K,178,4,0.07%,-0.14%,https://www.instagram.com/inspirasibikinrumah/
Maquinn,@maquinnofficial,DIY & Design,110.4K,548,6,0.50%,0.52%,https://www.instagram.com/maquinnofficial/
Ohouse Indonesia,@ohouseidn,DIY & Design,291.1K,178,7,0.06%,5.34%,https://www.instagram.com/ohouseidn/
Metaphor Interior Architecture,@metaphor_interior,DIY & Design,55.4K,1.3K,1,2.30%,1.82%,https://www.instagram.com/metaphor_interior/
Kathryn Bernardo 🐘,@bernardokath,Fashion,20.7M,843.4K,25,4.08%,0.12%,https://www.instagram.com/bernardokath/
G-DRAGON,@xxxibgdrgn,Fashion,24.4M,627.3K,6.5K,2.58%,0.56%,https://www.instagram.com/xxxibgdrgn/
Mark Tuan,@marktuan,Fashion,13.9M,491.7K,4.5K,3.55%,-0.14%,https://www.instagram.com/marktuan/
NCT DREAM OFFICIAL,@nct_dream,Fashion,13.1M,498.2K,3.6K,3.83%,0.03%,https://www.instagram.com/nct_dream/
CL,@chaelincl,Fashion,10.9M,208.9K,1.1K,1.92%,0.12%,https://www.instagram.com/chaelincl/
"tiffany young",@tiffanyyoungofficial,Fashion,15.9M,126.9K,660,0.80%,-0.24%,https://www.instagram.com/tiffanyyoungofficial/
Avril Lavigne,@avrillavigne,Fashion,13.8M,143.7K,1.9K,1.05%,0.20%,https://www.instagram.com/avrillavigne/
GOT7,@got7.with.igot7,Fashion,6.5M,200.2K,1.3K,3.08%,0.75%,https://www.instagram.com/got7.with.igot7/
Red Velvet Official,@redvelvet.smtown,Fashion,12M,103.3K,357,0.86%,-0.14%,https://www.instagram.com/redvelvet.smtown/
Sooyoung Choi,@sooyoungchoi,Fashion,7.5M,143.8K,544,1.92%,-0.24%,https://www.instagram.com/sooyoungchoi/
Jessica Jane,@jessicajane99,Fashion,6.2M,156.8K,797,2.54%,1.21%,https://www.instagram.com/jessicajane99/
HENRY LAU 刘宪华 헨리,@henryl89,Fashion,8.4M,103.8K,1.1K,1.24%,0.29%,https://www.instagram.com/henryl89/
PONY 포니,@ponysmakeup,Fashion,8.9M,79.7K,60,0.90%,-0.22%,https://www.instagram.com/ponysmakeup/
